sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
A niece of most senators hasn't descended most slopes.,A niece of most senators haven't descended most slopes.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,0,-90.89933776855469,-90.01817321777344,0
The sketch of those trucks hasn't hurt Alan.,The sketch of those trucks haven't hurt Alan.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,1,-61.744667053222656,-58.68180847167969,0
A newspaper article about the Borgias has disagreed with Marcus.,A newspaper article about the Borgias have disagreed with Marcus.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,2,-98.43319702148438,-98.89350891113281,1
The niece of most guests has cleaned every college campus.,The niece of most guests have cleaned every college campus.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,3,-74.38861083984375,-71.59188842773438,0
A sketch of lights doesn't appear.,A sketch of lights don't appear.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,4,-56.39640426635742,-53.35470962524414,0
The movies about Galileo were astounding Melanie.,The movies about Galileo was astounding Melanie.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,5,-64.55107879638672,-63.313446044921875,0
A cousin of a lot of dancers anticipates Naomi to aggravate Angela.,A cousin of a lot of dancers anticipate Naomi to aggravate Angela.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,6,-122.86117553710938,-110.54727935791016,0
A movie about the Impressionists hasn't scared Harvard University.,A movie about the Impressionists haven't scared Harvard University.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,7,-101.06263732910156,-99.00906372070312,0
The pamphlets about Galileo are winning.,The pamphlets about Galileo is winning.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,8,-61.350032806396484,-60.57670593261719,0
The daughter of those senators works with Patrick.,The daughter of those senators work with Patrick.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,9,-54.068214416503906,-54.642539978027344,1
A story about the Balkans doesn't irritate a person.,A story about the Balkans don't irritate a person.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,10,-73.77723693847656,-75.14900207519531,1
The sisters of Timothy judge Randolf to weep.,The sisters of Timothy judges Randolf to weep.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,11,-86.68997955322266,-87.22633361816406,1
The daughter of the Lutherans hasn't argued about that waitress.,The daughter of the Lutherans haven't argued about that waitress.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,12,-71.54200744628906,-70.34226989746094,0
A nephew of senators is wanting to murmur.,A nephew of senators were wanting to murmur.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,13,-77.82200622558594,-78.70181274414062,1
The prints of that high school are impressing Helen.,The prints of that high school was impressing Helen.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,14,-63.239723205566406,-64.86483764648438,1
A report about the Impressionists has won.,A report about the Impressionists have won.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,15,-72.7962875366211,-70.11517333984375,0
The grandsons of Douglas chuckle.,The grandsons of Douglas chuckles.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,16,-54.87520217895508,-55.691619873046875,1
The mothers of Mary seem to shrink.,The mothers of Mary seems to shrink.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,17,-51.780357360839844,-51.26554870605469,0
The books about Winston Churchill do look like paintings.,The books about Winston Churchill does look like paintings.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,18,-66.88473510742188,-67.30830383300781,1
The sketches of some dancer do bore these girls.,The sketches of some dancer does bore these girls.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,19,-65.8558578491211,-68.32696533203125,1
The daughter of most actresses is observing Christina.,The daughter of most actresses were observing Christina.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,20,-60.07451629638672,-59.87315368652344,0
A story about the Lutherans hasn't won.,A story about the Lutherans haven't won.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,21,-66.61141204833984,-65.57760620117188,0
The friends of every person do fix some cups.,The friends of every person does fix some cups.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,22,-57.59700012207031,-56.52751541137695,0
A father of guys was passing most college campuses.,A father of guys are passing most college campuses.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,23,-74.25016784667969,-70.938232421875,0
The commentaries about music do disgust Kayla.,The commentaries about music does disgust Kayla.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,24,-76.41380310058594,-76.23172760009766,0
The grandfathers of Diana drink.,The grandfathers of Diana drinks.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,25,-49.12757110595703,-48.09578323364258,0
The daughters of Wayne don't exit art galleries.,The daughters of Wayne doesn't exit art galleries.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,26,-65.33440399169922,-64.98101043701172,0
The pamphlets about art aggravate Sherry.,The pamphlets about art aggravates Sherry.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,27,-76.2324447631836,-77.74345397949219,1
